elapsed_ms,sensor_value,rolling_std,is_active,event
77,2529,0.0,False,
179,2529,0.0,False,
277,2523,3.4641016151377544,False,
378,2531,4.1633319989323105,False,
478,2530,4.3588989435407,False,
578,2529,1.0000000000001137,False,
678,2528,1.0000000000001137,False,
821,2528,0.5773502691898555,False,
878,2565,21.361959960016094,False,
980,2525,22.27853974867588,False,
1080,2527,22.53885533916921,False,
1177,2521,3.0550504633033784,False,
1278,2531,5.033222956846809,False,
1378,2525,5.033222956846809,False,
1478,2525,3.4641016151373116,False,
1578,2524,0.5773502691869018,False,
1678,2528,2.081665999465432,False,
1778,2525,2.081665999465432,False,
1878,2525,1.7320508075680896,False,
1980,2526,0.5773502691871972,False,
2079,2523,1.5275252316509542,False,
2178,2525,1.5275252316509542,False,
2278,2527,1.9999999999992042,False,
2381,2526,0.9999999999984084,False,
2478,2523,2.081665999465432,False,
2578,2525,1.527525231651066,False,
2678,2527,1.9999999999992895,False,
2778,2525,1.154700538377988,False,
2878,2524,1.527525231651066,False,
2978,2527,1.527525231651066,False,
3078,2525,1.527525231651066,False,
3179,2525,1.154700538377988,False,
3278,2526,0.5773502691869018,False,
3378,2525,0.5773502691869018,False,
3480,2519,3.785938897199827,False,
3582,2524,3.2145502536639707,False,
3683,2523,2.6457513110641178,False,
3778,2525,0.9999999999987494,False,
3889,2521,1.9999999999993747,False,
3996,2525,2.3094010767579944,False,
4081,2527,3.0550504633034343,False,
4179,2524,1.5275252316509542,False,
4281,2521,2.9999999999994884,False,
4378,2523,1.5275252316509542,False,
4478,2524,1.5275252316509542,False,
4578,2519,2.6457513110640534,False,
4678,2519,2.8867513459476037,False,
4778,2521,1.1547005383778404,False,
4878,2520,0.9999999999984084,False,
4978,2521,0.5773502691869018,False,
5081,2525,2.645751311063989,False,
5182,2526,2.645751311063989,False,
5282,2531,3.2145502536637585,False,
5378,2538,6.027713773341447,False,
5479,2536,3.6055512754636423,False,
5597,2539,1.5275252316511776,False,
5678,2547,5.68624070307718,False,
5778,2547,4.61880215351685,False,
5878,2550,1.7320508075682866,False,
5978,2549,1.5275252316512893,False,
6078,2550,0.5773502691880833,False,
6179,2549,0.5773502691880833,False,
6282,2544,3.2145502536639707,False,
6378,2549,2.886751345947663,False,
6478,2547,2.5166114784230937,False,
6578,2547,1.1547005383782833,False,
6678,2541,3.4641016151374098,False,
6778,2537,5.033222956846877,False,
6878,2531,5.033222956846877,False,
6980,2532,3.2145502536639707,False,
7078,2526,3.2145502536639707,False,
7179,2527,3.2145502536639707,False,
7278,2534,4.358898943540465,False,
7378,2542,7.5055534994649555,False,
7478,2548,7.023769168568188,False,
7579,2550,4.163331998931697,False,
7678,2543,3.605551275463406,False,
7782,2539,5.567764362829644,False,
7884,2543,2.309401076757625,False,
7980,2539,2.309401076757625,False,
8078,2537,3.0550504633031554,False,
8178,2539,1.1547005383771018,False,
8280,2536,1.5275252316503962,False,
8381,2539,1.732050807567499,False,
8480,2541,2.5166114784226874,False,
8578,2540,0.9999999999978968,False,
8678,2538,1.5275252316505077,False,
8778,2537,1.5275252316505077,False,
8878,2541,2.0816659994651863,False,
8978,2537,2.309401076757699,False,
9078,2535,3.055050463303211,False,
9178,2536,0.9999999999977263,False,
9279,2533,1.5275252316503962,False,
9379,2537,2.0816659994649402,False,
9483,2539,3.0550504633030435,False,
9581,2539,1.1547005383768065,False,
9678,2541,1.1547005383768065,False,
9780,2543,1.9999999999986073,False,
9879,2537,3.0550504633030435,False,
9978,2537,3.4641016151370163,False,
10078,2539,1.1547005383771018,False,
10181,2539,1.1547005383771018,False,
10278,2539,0.0,False,
10378,2535,2.3094010767573296,False,
10480,2541,3.055050463302932,False,
10583,2543,4.163331998931615,False,
10678,2538,2.516611478422552,False,
10777,2535,4.041451884326682,False,
10878,2541,2.999999999998977,False,
10978,2541,3.4641016151368684,False,
11078,2539,1.1547005383766589,False,
11178,2539,1.1547005383766589,False,
11280,2539,0.0,False,
11378,2536,1.732050807567105,False,
11479,2533,2.999999999998977,False,
11578,2181,204.0988322684216,True,start_1
11685,1013,795.6682725860068,True,
11778,1727,588.8033061501382,True,
11881,2343,665.6014823701441,True,
11980,557,907.2074367713998,True,
12082,1275,898.6975761252131,True,
12184,347,486.62237241349,True,
12285,283,555.1792503327191,True,
12383,773,266.35565196431133,True,
12479,2397,1106.5315178520673,True,
12588,365,1074.9313156352518,True,
12678,363,1173.7535232463983,True,
12780,264,57.74368652357884,False,
12879,253,60.58327602014725,False,
12979,1208,548.2216704947006,True,
13078,751,477.64666159550757,True,
13178,283,462.51090077243947,True,
13278,2365,1092.3021559989709,True,
13380,1620,1054.9342791536037,True,
13478,489,944.5953278168028,True,
13578,249,732.1659647921363,True,
13678,1907,896.0364575916168,True,
13779,1830,935.8110564282371,True,
13880,2058,115.9841943254902,True,
13979,2073,136.1726844855448,True,
14078,2078,10.408329997318127,False,end_1
14180,2089,8.18535277185659,False,
14278,2089,6.350852961065407,False,
14378,2092,1.7320508074935588,False,
14478,2091,1.5275252315665557,False,
14578,2093,0.999999999869658,False,
14678,2095,1.999999999934829,False,
14781,2093,1.1547005382663393,False,
14878,2097,1.999999999934829,False,
14978,2099,3.0550504632611792,False,
15078,2096,1.5275252315664443,False,
15178,2099,1.7320508074934602,False,
15278,2100,2.0816659994033366,False,
15379,2099,0.5773502689630136,False,
15478,2101,0.9999999998691464,False,
15578,2101,1.1547005382658961,False,
15678,2104,1.7320508074932632,False,
15778,2103,1.5275252315662209,False,
15880,2105,0.9999999998691464,False,
15979,2105,1.1547005382658961,False,
16079,2106,0.5773502689627182,False,
16178,2109,2.0816659994032545,False,
16280,2111,2.5166114783716624,False,
16379,2111,1.1547005382661917,False,
16479,2111,0.0,False,
16580,2117,3.464101615100046,False,
16680,2111,3.464101615100046,False,
16779,2116,3.214550253623706,False,
16881,2120,4.509249752793968,False,
16981,2119,2.081665999403582,False,
17103,2120,0.5773502689638997,False,
17179,2121,0.999999999869658,False,
17278,2119,0.999999999869658,False,
17378,2160,23.11565126344204,False,
17478,2129,21.37755832642575,False,
17584,2163,18.82374387132033,False,
17679,2203,37.0405183549007,False,
17778,2214,26.83902631119591,False,
17878,2203,6.350852961064557,False,
17978,2200,7.371114795813604,False,
18080,2199,2.0816659994007423,False,
18178,2200,0.5773502689536603,False,
18278,2197,1.5275252315626857,False,
18378,2195,2.516611478369449,False,
18478,2197,1.1547005382613673,False,
18578,2196,0.9999999998639169,False,
18679,2196,0.5773502689539557,False,
18778,1945,144.9149175665952,True,start_2
18878,280,1041.335840799371,True,
18980,481,908.8382694407181,True,
19081,285,114.63129299337395,True,
19186,580,150.1343842473561,True,
19278,277,172.67406676548958,True,
19378,263,179.1154190273209,True,
19478,1376,638.5877647851803,True,
19578,253,645.496966168961,True,
19679,265,644.9281613740656,True,
19778,989,421.50840244689397,True,
19878,1211,494.7012566522677,True,
19978,255,500.32922494426896,True,
20079,484,499.15027797247546,True,
20180,287,124.01209618420057,True,
20278,813,265.74611944485565,True,
20381,1640,682.0574267122475,True,
20479,1206,413.6693526638552,True,
20582,269,700.709878147392,True,
20683,301,531.980262791769,True,
20781,295,17.009801096213522,False,
20886,294,3.7859388971231773,False,
20980,251,25.119713374149175,False,
21081,1371,634.5835905011513,True,
